,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Spider-Man: No Way Home,(2021),148 min,8.7,71        ,"403,038",-
1,Dune,(2021),155 min,8.1,74        ,"453,330",-
2,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,65        ,"734,174",$317.58M
3,West Side Story,(2021),156 min,7.8,85        ,"25,975",-
4,The Gentlemen,(2019),113 min,7.8,51        ,"298,577",-
5,Ghostbusters,(1984),105 min,7.8,71        ,"394,781",$238.63M
6,The Matrix,(1999),136 min,8.7,73        ,"1,825,024",$171.48M
7,Avengers: Endgame,(2019),181 min,8.4,78        ,"998,818",$858.37M
8,The Shawshank Redemption,(1994),142 min,9.3,80        ,"2,529,885",$28.34M
9,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        ,"594,762",$290.01M
10,CODA,(2021),111 min,8.1,75        ,"36,879",-
11,The Godfather,(1972),175 min,9.2,100        ,"1,741,734",$134.97M
12,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,85        ,"826,672",$381.01M
13,The Dark Knight,(2008),152 min,9.0,84        ,"2,480,345",$534.86M
14,Interstellar,(2014),169 min,8.6,74        ,"1,675,656",$188.02M
15,Kingsman: The Secret Service,(2014),129 min,7.7,60        ,"633,074",$128.26M
16,In the Heat of the Night,(1967),110 min,7.9,75        ,"72,923",$24.38M
17,Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"463,182",$190.24M
18,Harry Potter and the Prisoner of Azkaban,(2004),142 min,7.9,82        ,"601,031",$249.36M
19,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,767,186",$315.54M
20,Avengers: Infinity War,(2018),149 min,8.4,68        ,"970,728",$678.82M
21,Once Upon a Time... In Hollywood,(2019),161 min,7.6,83        ,"663,484",$142.50M
22,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,304,808",$116.90M
23,Titanic,(1997),194 min,7.8,75        ,"1,116,320",$659.33M
24,Guess Who's Coming to Dinner,(1967),108 min,7.8,63        ,"43,870",$56.70M
25,The Hobbit: An Unexpected Journey,(2012),169 min,7.8,58        ,"793,446",$303.00M
26,Pulp Fiction,(1994),154 min,8.9,94        ,"1,948,802",$107.93M
27,300,(2006),117 min,7.6,52        ,"766,698",$210.61M
28,Little Women,(2019),135 min,7.8,91        ,"181,428",$108.10M
29,Wind River,(2017),107 min,7.7,73        ,"235,026",$33.80M
30,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,364,888",$120.54M
31,Zack Snyder's Justice League,(2021),242 min,8.1,54        ,"356,454",-
32,Parasite,(2019),132 min,8.6,96        ,"707,987",$53.37M
33,Knives Out,(2019),130 min,7.9,82        ,"566,458",$165.36M
34,Harry Potter and the Half-Blood Prince,(2009),153 min,7.6,78        ,"516,326",$301.96M
35,Inception,(2010),148 min,8.8,74        ,"2,223,204",$292.58M
36,Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,65        ,"519,472",$295.98M
37,The Father,(I) (2020),97 min,8.3,88        ,"119,077",-
38,The Social Network,(2010),120 min,7.7,95        ,"669,961",$96.96M
39,Braveheart,(1995),178 min,8.3,68        ,"1,003,078",$75.60M
40,Avatar,(2009),162 min,7.8,83        ,"1,175,202",$760.51M
41,Joker,(I) (2019),122 min,8.4,59        ,"1,130,484",$335.45M
42,Fight Club,(1999),139 min,8.8,66        ,"1,989,708",$37.03M
43,Thor: Ragnarok,(2017),130 min,7.9,74        ,"674,325",$315.06M
44,Hacksaw Ridge,(2016),139 min,8.1,71        ,"485,183",$67.21M
45,The Last Picture Show,(1971),118 min,8.0,93        ,"46,460",$29.13M
46,Blade Runner 2049,(2017),164 min,8.0,81        ,"524,832",$92.05M
47,Pride & Prejudice,(2005),129 min,7.8,82        ,"280,823",$38.41M
48,Gone Girl,(2014),149 min,8.1,79        ,"931,132",$167.77M
49,Saving Private Ryan,(1998),169 min,8.6,91        ,"1,320,640",$216.54M
50,The Big Short,(2015),130 min,7.8,81        ,"404,858",$70.26M
51,Hell or High Water,(II) (2016),102 min,7.6,88        ,"219,945",$26.86M
52,Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,118,808",$333.18M
53,Django Unchained,(2012),165 min,8.4,81        ,"1,462,651",$162.81M
54,1917,(2019),119 min,8.3,78        ,"525,027",$159.23M
55,Taxi Driver,(1976),114 min,8.2,94        ,"778,762",$28.26M
56,American Psycho,(2000),101 min,7.6,64        ,"544,605",$15.07M
57,The Girl with the Dragon Tattoo,(2011),158 min,7.8,71        ,"448,929",$102.52M
58,Gladiator,(2000),155 min,8.5,67        ,"1,428,400",$187.71M
59,Tombstone,(1993),130 min,7.8,50        ,"139,791",$56.51M
60,True Grit,(2010),110 min,7.6,80        ,"329,160",$171.24M
61,Prisoners,(2013),153 min,8.1,70        ,"658,712",$61.00M
62,Iron Man,(2008),126 min,7.9,79        ,"1,008,081",$318.41M
63,The Great Escape,(1963),172 min,8.2,86        ,"237,531",$12.10M
64,The Departed,(2006),151 min,8.5,85        ,"1,264,443",$132.38M
65,Schindler's List,(1993),195 min,8.9,94        ,"1,292,634",$96.90M
66,The Lord of the Rings: The Return of the King,(2003),201 min,8.9,94        ,"1,745,900",$377.85M
67,The Prestige,(2006),130 min,8.5,66        ,"1,270,729",$53.09M
68,Goodfellas,(1990),146 min,8.7,90        ,"1,094,316",$46.84M
69,Léon: The Professional,(1994),110 min,8.5,64        ,"1,105,531",$19.50M
70,No Country for Old Men,(2007),122 min,8.1,91        ,"922,403",$74.28M
71,Mission: Impossible - Fallout,(2018),147 min,7.7,86        ,"314,954",$220.16M
72,Deadpool,(2016),108 min,8.0,65        ,"973,905",$363.07M
73,The Avengers,(2012),143 min,8.0,69        ,"1,333,369",$623.28M
74,Call Me by Your Name,(2017),132 min,7.9,93        ,"248,337",$18.10M
75,Se7en,(1995),127 min,8.6,65        ,"1,552,342",$100.13M
